StartF,EndF,StartS,EndS,StartH,EndH,Winners,Losers
2010-01-05,2010-12-31,2010-08-02,2011-01-31,2011-02-01,2011-02-28,"['GDXJ', 'PXQ', 'PEJ', 'PXE']","['GRID', 'PBD', 'FAN', 'TAN']"
2010-02-01,2011-01-31,2010-09-01,2011-02-28,2011-03-01,2011-03-31,"['GDXJ', 'PXQ', 'PXE', 'PNQI']","['GII', 'PBD', 'TAN', 'FAN']"
2010-03-01,2011-02-28,2010-10-01,2011-03-31,2011-04-01,2011-04-29,"['GDXJ', 'PXE', 'PXJ', 'PXQ']","['XHB', 'TAN', 'PBD', 'FAN']"
2010-04-01,2011-03-31,2010-11-01,2011-04-29,2011-05-02,2011-05-31,"['GDXJ', 'PXE', 'PXJ', 'PNQI']","['PBD', 'NLR', 'TAN', 'FAN']"
2010-05-03,2011-04-29,2010-12-01,2011-05-31,2011-06-01,2011-06-30,"['GDXJ', 'PXE', 'PNQI', 'PXJ']","['TAN', 'IAI', 'XHB', 'FAN']"
2010-06-01,2011-05-31,2011-01-03,2011-06-30,2011-07-01,2011-07-29,"['PXJ', 'PXE', 'KOL', 'GDXJ']","['GRID', 'XHB', 'IAI', 'FAN']"
2010-07-01,2011-06-30,2011-02-01,2011-07-29,2011-08-01,2011-08-31,"['PXJ', 'KOL', 'PXE', 'BJK']","['PBD', 'GDX', 'TAN', 'FAN']"
2010-08-02,2011-07-29,2011-03-01,2011-08-31,2011-09-01,2011-09-30,"['PXJ', 'GDXJ', 'PXE', 'PNQI']","['GRID', 'PBD', 'FAN', 'TAN']"
2010-09-01,2011-08-31,2011-04-01,2011-09-30,2011-10-03,2011-10-31,"['PXJ', 'PXE', 'PJP', 'BJK']","['FAN', 'SLX', 'PBD', 'TAN']"
2010-10-01,2011-09-30,2011-05-02,2011-10-31,2011-11-01,2011-11-30,"['PJP', 'PBJ', 'IHF', 'IHI']","['FAN', 'SLX', 'PBD', 'TAN']"
2010-11-01,2011-10-31,2011-06-01,2011-11-30,2011-12-01,2011-12-30,"['PXE', 'PJP', 'IHF', 'PXJ']","['FAN', 'SLX', 'PBD', 'TAN']"
2010-12-01,2011-11-30,2011-07-01,2011-12-30,2012-01-03,2012-01-31,"['PJP', 'IHF', 'PXE', 'IHI']","['SLX', 'NLR', 'PBD', 'TAN']"
2011-01-03,2011-12-30,2011-08-01,2012-01-31,2012-02-01,2012-02-29,"['PJP', 'IHF', 'PBJ', 'PEJ']","['GDXJ', 'NLR', 'PBD', 'TAN']"
2011-02-01,2012-01-31,2011-09-01,2012-02-29,2012-03-01,2012-03-30,"['PJP', 'PBJ', 'IHF', 'PEJ']","['KOL', 'NLR', 'PBD', 'TAN']"
2011-03-01,2012-02-29,2011-10-03,2012-03-30,2012-04-02,2012-04-30,"['PJP', 'XHB', 'PEJ', 'BJK']","['XME', 'NLR', 'PBD', 'TAN']"
2011-04-01,2012-03-30,2011-11-01,2012-04-30,2012-05-01,2012-05-31,"['PJP', 'XHB', 'PEJ', 'BJK']","['FAN', 'KOL', 'PBD', 'TAN']"
2011-05-02,2012-04-30,2011-12-01,2012-05-31,2012-06-01,2012-06-29,"['PJP', 'PEJ', 'XHB', 'KBWP']","['GDXJ', 'FAN', 'PBD', 'TAN']"
