,StartF,EndF,StartH,EndH
0,2010-01-05,2010-12-31,2011-02-01,2011-02-28
1,2010-02-01,2011-01-31,2011-03-01,2011-03-31
2,2010-03-01,2011-02-28,2011-04-01,2011-04-29
3,2010-04-01,2011-03-31,2011-05-02,2011-05-31
4,2010-05-03,2011-04-29,2011-06-01,2011-06-30
5,2010-06-01,2011-05-31,2011-07-01,2011-07-29
6,2010-07-01,2011-06-30,2011-08-01,2011-08-31
7,2010-08-02,2011-07-29,2011-09-01,2011-09-30
8,2010-09-01,2011-08-31,2011-10-03,2011-10-31
9,2010-10-01,2011-09-30,2011-11-01,2011-11-30
10,2010-11-01,2011-10-31,2011-12-01,2011-12-30
11,2010-12-01,2011-11-30,2012-01-03,2012-01-31
12,2011-01-03,2011-12-30,2012-02-01,2012-02-29
13,2011-02-01,2012-01-31,2012-03-01,2012-03-30
14,2011-03-01,2012-02-29,2012-04-02,2012-04-30
15,2011-04-01,2012-03-30,2012-05-01,2012-05-31
16,2011-05-02,2012-04-30,2012-06-01,2012-06-29
17,2011-06-01,2012-05-31,2012-07-02,2012-07-31
18,2011-07-01,2012-06-29,2012-08-01,2012-08-31
19,2011-08-01,2012-07-31,2012-09-04,2012-09-28
20,2011-09-01,2012-08-31,2012-10-01,2012-10-31
21,2011-10-03,2012-09-28,2012-11-01,2012-11-30
22,2011-11-01,2012-10-31,2012-12-03,2012-12-31
23,2011-12-01,2012-11-30,2013-01-02,2013-01-31
24,2012-01-03,2012-12-31,2013-02-01,2013-02-28
25,2012-02-01,2013-01-31,2013-03-01,2013-03-28
26,2012-03-01,2013-02-28,2013-04-01,2013-04-30
27,2012-04-02,2013-03-28,2013-05-01,2013-05-31
28,2012-05-01,2013-04-30,2013-06-03,2013-06-28
29,2012-06-01,2013-05-31,2013-07-01,2013-07-31
30,2012-07-02,2013-06-28,2013-08-01,2013-08-30
31,2012-08-01,2013-07-31,2013-09-03,2013-09-30
32,2012-09-04,2013-08-30,2013-10-01,2013-10-31
33,2012-10-01,2013-09-30,2013-11-01,2013-11-29
34,2012-11-01,2013-10-31,2013-12-02,2013-12-31
35,2012-12-03,2013-11-29,2014-01-02,2014-01-31
36,2013-01-02,2013-12-31,2014-02-03,2014-02-28
37,2013-02-01,2014-01-31,2014-03-03,2014-03-31
38,2013-03-01,2014-02-28,2014-04-01,2014-04-30
39,2013-04-01,2014-03-31,2014-05-01,2014-05-30
40,2013-05-01,2014-04-30,2014-06-02,2014-06-30
41,2013-06-03,2014-05-30,2014-07-01,2014-07-31
42,2013-07-01,2014-06-30,2014-08-01,2014-08-29
43,2013-08-01,2014-07-31,2014-09-02,2014-09-30
44,2013-09-03,2014-08-29,2014-10-01,2014-10-31
45,2013-10-01,2014-09-30,2014-11-03,2014-11-28
46,2013-11-01,2014-10-31,2014-12-01,2014-12-31
47,2013-12-02,2014-11-28,2015-01-02,2015-01-30
48,2014-01-02,2014-12-31,2015-02-02,2015-02-27
49,2014-02-03,2015-01-30,2015-03-02,2015-03-31
50,2014-03-03,2015-02-27,2015-04-01,2015-04-30
51,2014-04-01,2015-03-31,2015-05-01,2015-05-29
52,2014-05-01,2015-04-30,2015-06-01,2015-06-30
53,2014-06-02,2015-05-29,2015-07-01,2015-07-31
54,2014-07-01,2015-06-30,2015-08-03,2015-08-31
55,2014-08-01,2015-07-31,2015-09-01,2015-09-30
56,2014-09-02,2015-08-31,2015-10-01,2015-10-30
57,2014-10-01,2015-09-30,2015-11-02,2015-11-30
58,2014-11-03,2015-10-30,2015-12-01,2015-12-31
59,2014-12-01,2015-11-30,2016-01-04,2016-01-29
60,2015-01-02,2015-12-31,2016-02-01,2016-02-29
61,2015-02-02,2016-01-29,2016-03-01,2016-03-31
62,2015-03-02,2016-02-29,2016-04-01,2016-04-29
63,2015-04-01,2016-03-31,2016-05-02,2016-05-31
64,2015-05-01,2016-04-29,2016-06-01,2016-06-30
65,2015-06-01,2016-05-31,2016-07-01,2016-07-29
66,2015-07-01,2016-06-30,2016-08-01,2016-08-31
