Date,Port. Value (USD),Port. Value (GBP)
Initial Investment,10000.0,6205.743366124867
2011-02-01,9995.282362513532,6202.815721371323
2011-02-02,9794.099780659832,6044.768240941266
2011-02-03,10213.831096678185,6306.269741988471
2011-02-04,10434.32719091613,6485.189638528735
2011-02-07,10357.129153027006,6420.7628674073885
2011-02-08,10493.983889923198,6531.129247587449
2011-02-09,10354.521520830156,6449.287969892396
2011-02-10,10542.296460035259,6569.949234700251
2011-02-11,10440.12262865012,6528.550507889534
2011-02-14,10593.1398385461,6620.712399091312
2011-02-15,10648.935467981424,6601.394118581343
2011-02-16,10613.990435463278,6614.299443148476
2011-02-17,10582.437289334557,6562.515867699007
2011-02-18,10509.995500132758,6474.74955764736
2011-02-22,10567.119967270195,6539.908358062863
2011-02-23,10700.588388505003,6592.111075589316
2011-02-24,10392.81741253113,6423.731549639061
2011-02-25,10718.302094441518,6661.3601086375475
2011-02-28,10913.567184397023,6727.692709835163
2011-03-01,10908.95667283703,6702.39985388255
2011-03-02,10941.99417783061,6717.809156317142
2011-03-03,10991.588908275615,6756.057500169347
2011-03-04,11154.43788405026,6857.537741762521
2011-03-07,11107.716094691132,6817.610177807845
2011-03-08,10955.787690985326,6783.317965418354
2011-03-09,10708.808479405121,6604.585356027932
2011-03-10,10633.035408484107,6591.681608918531
2011-03-11,10967.470302376143,6857.754610102656
2011-03-14,10561.689817606444,6556.758827856658
2011-03-15,9773.366720152884,6105.8904442982985
2011-03-16,9976.52030882172,6202.1618980403755
2011-03-17,9832.728580410076,6090.688665317892
2011-03-18,9881.86851237958,6110.953082894628
2011-03-21,10030.522061521475,6160.0719185500275
2011-03-22,10038.23145113284,6129.883367285421
2011-03-23,10165.793736279757,6255.81774972714
2011-03-24,10171.989115576034,6293.414273787302
2011-03-25,10317.837756125926,6416.576678910586
2011-03-28,9914.710212233851,6205.52611449418
2011-03-29,9944.387403765795,6231.679423495216
2011-03-30,10003.082606170781,6239.680129560253
2011-03-31,10046.385251640362,6249.0255836825045
2011-04-01,10041.715136023686,6259.650585153965
2011-04-04,10097.011860083872,6246.4624986192575
2011-04-05,10373.199351454208,6391.533992412553
2011-04-06,10236.299264513887,6281.3654578840915
2011-04-07,10334.057451479968,6337.324736910443
2011-04-08,10411.6307584122,6369.089727340521
2011-04-11,10117.698168153893,6193.707982159079
2011-04-12,9843.903313886436,6044.102211066055
2011-04-13,9915.534416386814,6087.657851125855
2011-04-14,10082.196985380115,6178.41735952556
2011-04-15,10184.656360684554,6229.20366194927
2011-04-18,10230.145405779778,6288.5832528650435
2011-04-19,10301.167102284333,6323.888068533022
2011-04-20,10427.47886362153,6369.993460883187
2011-04-21,10500.849767687825,6345.583447640453
2011-04-25,10361.29149333724,6261.249446555574
2011-04-26,10273.261338549297,6235.153449112414
2011-04-27,10337.058515063789,6246.774384894013
2011-04-28,10334.066927285054,6208.543115600109
2011-04-29,10259.00781781529,6156.09506794052
2011-05-02,10254.460420337866,6145.626613133234
2011-05-03,9933.282482526723,6028.185198073573
2011-05-04,10056.50195854306,6081.068480253422
2011-05-05,9959.966920457466,6041.936190678709
2011-05-06,10042.111923177568,6121.110771092481
2011-05-09,10217.226359248949,6239.839047257245
2011-05-10,10138.699401702555,6199.167157525081
2011-05-11,9973.786942123686,6049.087539154624
2011-05-12,9776.362111670522,6010.670169751652
2011-05-13,9875.635044575554,6071.648310564439
2011-05-16,9811.523823648025,6052.856208947527
2011-05-17,9806.367766556332,6040.490031385189
2011-05-18,10013.984437778396,6198.647216592016
2011-05-19,10105.119187913884,6243.001430302567
2011-05-20,10343.415056966032,6371.912745315206
2011-05-23,10389.84653144909,6445.484323075482
2011-05-24,10552.51850449923,6537.558220488458
2011-05-25,10824.183781354444,6671.92563441785
2011-05-26,10847.303941508515,6649.40956605274
2011-05-27,10854.606650830287,6596.085366587016
2011-05-31,10597.971960303934,6424.721201088914
2011-06-01,10593.268274658063,6448.3800251984385
2011-06-02,10576.390040283244,6458.107597673248
2011-06-03,10595.845533719357,6490.759878052162
2011-06-06,10381.786528158666,6332.49146749461
2011-06-07,10367.269898282932,6314.68060393008
2011-06-08,10540.579755628889,6442.8283567763465
2011-06-09,10614.511923470945,6459.933560240663
2011-06-10,10725.86915130153,6577.980225047935
2011-06-13,10345.27850017662,6346.699350053225
2011-06-14,10325.813939813128,6296.4023264438765
2011-06-15,10422.421416924692,6415.200196087255
2011-06-16,10281.312190762677,6387.8709258765975
2011-06-17,10122.842633288274,6260.981715423494
2011-06-20,10097.624901234629,6238.750334257267
2011-06-21,10378.648249785581,6402.802061444543
2011-06-22,10509.569788731533,6519.480987747797
2011-06-23,10431.766216938411,6529.763036065205
2011-06-24,10375.86092855109,6483.453746890007
2011-06-27,10224.97251435403,6404.194330149497
2011-06-28,10458.501921114002,6557.739582022515
2011-06-29,10607.634484725979,6616.810751655831
2011-06-30,10719.136512563247,6693.805202525126
2011-07-01,10714.93957933179,6693.139370029416
2011-07-05,11051.512866929406,6865.831657149476
2011-07-06,11232.016473407955,7019.814178943871
2011-07-07,11259.661008065155,7050.427167304425
2011-07-08,11440.063742786344,7174.7401593437535
2011-07-11,11455.676175911489,7177.727666517493
2011-07-12,11561.635446058477,7302.237943814777
2011-07-13,11840.080824577952,7423.082009380403
2011-07-14,11844.05424531013,7346.866348023705
2011-07-15,12243.222599999768,7594.67540744026
2011-07-18,12498.240583358343,7769.910121170087
2011-07-19,12357.992706773472,7670.508326156997
2011-07-20,12319.045450145266,7636.212694879627
2011-07-21,12151.027551614934,7507.4588028838425
2011-07-22,12339.33263163857,7568.569879895715
2011-07-25,12234.439768574288,7508.270581080751
2011-07-26,12271.459012855732,7482.3591044435125
2011-07-27,12234.940223975462,7479.354639258971
2011-07-28,12212.213884622564,7484.048887837449
2011-07-29,12128.47597850117,7440.811507604268
2011-08-01,5584.745233496275,3407.6050434053755
2011-08-02,5431.2814056289435,3341.5604301336793
2011-08-03,5439.251176311018,3318.894135511168
2011-08-04,5466.78579576252,3348.1133470972277
2011-08-05,5090.105492108435,3125.083841711371
2011-08-08,4824.739818870494,2947.754922031976
2011-08-09,4737.123149142635,2898.9852256929976
2011-08-10,4930.980546092677,3035.056794654783
2011-08-11,5178.245349784646,3206.242984357914
2011-08-12,5350.623320242099,3290.539471370398
2011-08-15,5300.455903098773,3248.6545719375654
2011-08-16,5390.688164534132,3297.8548415742985
2011-08-17,5345.375407236253,3240.3823010881315
2011-08-18,5029.021713048937,3047.022272484086
2011-08-19,5077.4973812606995,3069.618072746044
2011-08-22,4424.657049874346,2682.024305496749
2011-08-23,4678.5989358679635,2833.9459741688615
2011-08-24,4962.165257730806,3015.5304839279374
2011-08-25,4832.670959125607,2952.405469427839
2011-08-26,4805.5746182181465,2955.184808101933
2011-08-29,4938.925318624674,3015.788870647114
2011-08-30,4963.676923623365,3045.51667370773
2011-08-31,5015.862290364479,3074.0814146877647
2011-09-01,3181.2758039751384,1962.4362887974787
2011-09-02,3309.034784517299,2040.2039089218624
2011-09-06,3524.8560232963614,2192.8159571528004
2011-09-07,3509.6587186266006,2195.412051125892
2011-09-08,3730.746705734091,2328.9273974753323
2011-09-09,3767.5240804763926,2361.0762838421774
2011-09-12,3758.04227819797,2367.0767908905204
2011-09-13,3636.49827764348,2300.3616624204624
2011-09-14,3546.914378661813,2246.3704947624465
2011-09-15,3555.1151096486665,2249.683026427882
2011-09-16,3667.0169470972605,2323.065895930817
2011-09-19,3721.335519576277,2368.2218052932208
2011-09-20,3890.369403746345,2475.251080219462
2011-09-21,3914.579658066421,2506.467805396316
2011-09-22,3744.2604822761896,2431.3470152206455
2011-09-23,3523.4835559779835,2288.6901564069153
2011-09-26,3647.2251987450304,2349.3533576265095
2011-09-27,3607.8014099865763,2310.9696342319353
2011-09-28,3569.597172984393,2282.881913008225
2011-09-29,3467.0445298723007,2217.10049204945
2011-09-30,3580.6670372068947,2298.144921707005
2011-10-03,1698.0631653822404,1095.261571947642
2011-10-04,1699.8095271141729,1104.5344510733316
2011-10-05,1769.4447172250013,1144.9582297265079
2011-10-06,1726.3514864597705,1127.7424587047249
2011-10-07,1835.0011155325153,1181.2631864816271
2011-10-10,1792.1670451015937,1145.5999010409475
2011-10-11,1812.9430814444363,1159.420202468932
2011-10-12,1580.8552025966187,1005.231440949429
2011-10-13,1526.815663732329,974.1833605608329
2011-10-14,1585.080889640338,1004.2940263758643
2011-10-17,1726.0029524529145,1095.039619948938
2011-10-18,1757.3259294243983,1118.1815032076877
2011-10-19,1923.6928398051732,1217.193412060845
2011-10-20,1909.4046009185302,1210.0594088861383
2011-10-21,1904.8672165264954,1197.9624055515146
2011-10-24,1713.1845930286622,1074.5732749898657
2011-10-25,1901.6129785907315,1188.8155285412472
2011-10-26,1921.4604261605502,1202.9305274328071
2011-10-27,1506.9411777803061,940.6842528226038
2011-10-28,1456.8315142736265,904.7067740605138
2011-10-31,1763.0217236791439,1099.4173751561798
